Clase, Area, Anchura
nabo,20861.5,120.34
nabo,18697.5,125.686
pimiento,181700,387
pimiento,184380,391.673
pimiento,184050,391.112
pimiento,183726,390.55
pimiento,186773,390.817
pimiento,182796,390.121
pimiento,181839,389.987
pimiento,180804,383.97
pimiento,180507,384.139
pimiento,179673,382.314
pimiento,181177,386.913
pimiento,179314,382.204
pimiento,181450,398
pimiento,175656,382.255
pimiento,146593,424.971
pimiento,145459,429
pimiento,145649,424.901
pimiento,150728,422.339
pimiento,154739,427.765
pimiento,159413,423.934
pimiento,164969,420.415
pimiento,170472,416.914
pimiento,175346,414.97
pimiento,173423,382.077
pimiento,182821,410.588
pimiento,184880,407.754
pimiento,187491,404.534
pimiento,189011,401.407
pimiento,189191,399.603
pimiento,188598,396.936
pimiento,187367,396.338
pimiento,185333,397.306
pimiento,183363,399.083
pimiento,172285,381.031
pimiento,181138,399.539
pimiento,180538,400.77
pimiento,180832,402.448
pimiento,181674,403.729
pimiento,181689,407.313
pimiento,180000,409.273
pimiento,177550,416
pimiento,174296,436.92
pimiento,171546,380.365
pimiento,170608,432.458
pimiento,167648,425.425
pimiento,163208,417.991
pimiento,158004,437.91
pimiento,152592,413.096
pimiento,148790,409.487
pimiento,145352,408.842
pimiento,144809,408.936
pimiento,144989,408.204
pimiento,147539,408.045
pimiento,173957,379
pimiento,151638,408
pimiento,156181,409.238
pimiento,160809,409.37
pimiento,164921,410.496
pimiento,168559,404
pimiento,171716,403
pimiento,173613,391.192
pimiento,180069,386.191
pimiento,176336,378.897
pimiento,182220,387.309
pimiento,183729,390
pimiento,179321,377.067
pimiento,177895,382.923
pimiento,179586,375.638
pimiento,178835,377.133
pimiento,177349,377.647
pimiento,174863,379.254
pimiento,171460,382.509
pimiento,163081,389.335
pimiento,158161,394.091
pimiento,153736,401.833
pimiento,149044,433.654
pina,98981,245.573
pina,118118,251.265
pina,115905,244.821
pina,128663,291.554
pina,113014,241.754
pina,110395,240.654
pina,110517,241.717
pina,109508,239.819
pina,109477,239.882
pina,108763,239.751
pina,109206,239.893
pina,99636.5,272.576
pina,109054,239.802
pina,113996,265.62
pina,60853,286.465
pina,53542.5,286.778
pina,54181.5,288.562
pina,58684.5,283.556
pina,65911.5,276.387
pina,74577,269.951
pina,78819.5,256.774
pina,93555,253.111
pina,114761,266.618
pina,99348.5,249.599
pina,102228,247.709
pina,104904,247.042
pina,107387,246.832
pina,110402,238.153
pina,111216,234.788
pina,112450,230.913
pina,114730,226.111
pina,114224,225.955
pina,112691,233.228
pina,114953,266.81
pina,111118,224.996
pina,108269,225.828
pina,100538,212.946
pina,100760,209.97
pina,98775,208.994
pina,95271.5,205.224
pina,92728.5,204.62
pina,89599.5,204.782
pina,86708.5,204.908
pina,117035,266.552
pina,85127,205.072
pina,79047,205.033
pina,76804,205.587
pina,74232.5,206.695
pina,69385.5,231.508
pina,68246,208.961
pina,48680,218.989
pina,45979,220.743
pina,112755,269.564
pina,40411,226.29
pina,43451,230.067
